0user_handle,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,800,900,undefined
tatyam,10,9,12,16,22,17,16,20,15,14,10,6,12,7,4,6,1,3,,,,,,,,,26,9,23
Elegia,13,8,13,12,19,18,31,32,27,32,29,32,22,15,52,23,17,22,7,9,6,6,5,1,6,,17,10,48
ecnerwala,15,15,22,14,11,25,30,21,14,19,20,14,13,6,3,9,6,2,,2,3,2,,,,,10,13,96
BurnedChicken,54,35,54,50,58,58,58,67,53,60,55,42,42,38,47,44,47,33,17,23,20,5,5,,2,2,153,38,16
Golovanov399,22,22,14,20,37,23,33,25,30,21,17,20,14,11,7,6,4,3,2,3,,,,,,,31,14,41
Benq,34,37,29,41,27,40,58,42,35,49,44,36,39,32,25,23,13,9,1,,,,,,,,50,29,12
Ormlis,38,31,33,38,39,55,43,55,54,51,48,51,45,28,32,22,28,11,10,6,1,1,,1,,,93,31,200
kotatsugame,26,26,34,34,27,38,30,46,26,29,30,31,33,17,15,17,8,4,6,1,1,,,,,,51,21,20
peti1234,62,51,57,62,61,73,73,60,60,63,58,54,58,41,53,34,45,27,27,6,14,7,10,2,1,3,108,53,7
jiangly,58,27,49,42,38,50,47,42,40,64,61,44,50,48,27,35,32,28,11,12,15,18,12,10,2,5,105,30,32
hitonanode,14,7,16,14,16,23,21,27,21,33,27,28,32,20,27,14,14,18,2,6,1,3,,,,,9,7,
hank55663,50,51,66,74,55,79,101,85,86,81,69,82,61,47,62,37,30,12,10,4,10,2,,1,,,86,45,414
orzdevinwang,17,15,17,13,18,34,41,23,24,44,33,37,45,55,57,73,60,76,30,54,35,24,21,13,17,12,40,10,7
SSRS_,12,16,24,23,23,30,39,31,29,28,21,22,19,8,7,12,5,4,2,1,,,,,,,40,11,84
Sugar_fan,52,31,52,37,32,52,46,48,38,43,31,36,21,16,14,10,7,2,3,1,2,2,6,3,,2,75,39,163
turmax,25,19,36,28,36,36,34,46,45,41,37,40,37,33,26,14,16,9,2,1,2,1,,,,,55,23,55
Geothermal,59,43,54,58,55,78,70,67,62,67,54,52,47,35,47,38,30,32,9,10,3,,,,,,105,51,45
HIR180,18,26,24,35,40,54,61,45,40,41,52,45,38,23,36,31,14,18,16,13,4,32,4,1,,,25,9,42
353cerega,5,5,5,7,6,8,14,16,16,13,8,4,6,7,9,9,7,10,2,2,2,4,,,1,,13,5,117
Kevin114514,44,29,37,27,41,40,38,38,41,33,44,27,32,17,31,21,12,12,10,10,5,5,2,1,,1,174,33,63
cmll02,2,4,4,4,2,2,7,4,2,2,5,2,4,11,8,4,5,5,3,1,1,,,,,,9,6,28
Swistakk,3,5,3,12,19,26,35,18,26,34,21,27,30,14,22,14,18,17,11,8,1,4,2,,,,5,1,213
tute7627,73,48,81,91,80,105,103,129,112,106,98,83,117,67,79,68,61,38,16,10,3,2,,,,,134,64,42
dreamoon_love_AA,65,64,79,89,89,103,112,111,106,114,113,66,62,45,35,24,11,7,3,4,2,,,,,,67,45,69
244mhq,29,12,32,28,14,26,40,28,35,40,38,34,49,32,45,22,15,15,10,12,3,4,4,1,,,24,17,874
alireza_kaviani,191,161,163,138,110,123,110,105,84,108,89,82,69,64,72,35,29,11,5,4,,,,1,2,,289,155,46
dorijanlendvaj,44,31,50,58,41,54,68,51,27,35,32,33,19,12,25,11,8,3,,2,11,4,,,,,65,33,38
Radewoosh,7,14,14,16,15,17,21,26,20,25,30,18,20,20,13,20,4,11,10,2,3,,2,,,,15,7,193
isaf27,23,14,28,23,21,30,38,28,29,25,21,23,19,21,17,11,8,10,3,2,,1,,1,1,1,37,21,29
noimi,31,24,45,53,42,63,91,79,78,68,63,52,61,44,55,63,45,29,24,10,4,3,,,1,,70,24,225
TLE,18,21,22,21,20,16,27,17,14,15,18,16,22,19,10,14,5,16,6,9,3,6,,,1,,20,19,121
Maksim1744,19,10,29,25,22,27,25,23,25,26,17,18,18,13,19,9,11,10,6,4,1,3,2,,,,39,15,23
ksun48,49,47,49,35,52,54,67,43,41,29,34,30,30,10,20,9,12,4,5,3,,2,3,,1,,70,35,62
dXqwq,30,29,42,42,41,45,51,61,39,42,44,34,43,29,32,19,26,25,12,7,3,6,5,3,2,3,87,31,13
AlternatingCurrent,13,18,18,16,19,24,13,16,19,17,14,11,13,8,14,11,4,6,5,2,,,,1,1,2,62,11,12
Egor,22,13,26,26,26,30,31,27,42,33,38,16,26,26,18,16,13,2,2,,,,,,,,20,7,6
gamegame,18,10,15,22,14,21,28,17,29,25,24,16,8,10,10,8,1,2,3,,2,1,,,1,,29,13,22
A_G,28,43,45,38,41,31,35,50,37,32,47,33,57,39,58,49,24,44,35,17,16,8,15,10,10,5,139,37,70
Crystally,29,20,16,26,35,36,25,42,45,46,37,52,42,61,84,74,69,77,66,68,68,61,63,48,47,69,43,20,19
conqueror_of_tourist,20,21,21,14,23,21,25,18,13,11,15,13,7,5,4,3,4,6,2,,1,,1,,,,41,10,10
ugly2333,9,11,17,18,11,35,32,22,27,19,39,29,28,35,34,22,15,22,14,10,7,3,,1,,,22,7,35
PinkieRabbit,2,3,1,1,4,3,4,4,4,2,3,2,2,4,3,3,,1,,1,,,,,,,2,,3
maspy,35,33,55,60,37,55,42,63,43,59,48,50,41,22,13,17,6,4,3,1,,,,4,,,104,35,8
arvindf232,23,17,24,27,25,22,28,54,84,86,76,69,73,53,103,68,65,87,60,53,16,15,16,3,,1,150,23,15
potato167,11,8,13,9,5,14,14,15,12,8,4,6,10,12,6,6,7,,,,,,,,,,31,2,
FizzyDavid,18,13,22,32,38,39,47,37,38,40,35,32,40,33,26,19,18,20,9,8,6,1,2,,2,,23,14,47
Rubikun,52,26,44,52,57,72,81,78,83,80,61,64,63,53,60,36,19,16,9,5,3,3,1,,,,80,33,210
yuto1115,11,12,18,13,20,17,18,16,12,16,12,11,10,6,4,5,9,3,2,,1,,,,,,25,11,3
neal,10,7,10,22,9,16,39,29,89,27,34,44,83,63,54,80,32,55,19,26,16,21,31,4,,,26,6,
998kover,15,10,24,23,18,21,29,32,20,19,31,26,22,26,23,10,6,5,6,5,2,,4,1,,1,26,18,287
qwerty787788,31,27,22,36,37,42,48,41,38,40,38,32,27,23,21,19,9,6,2,2,,2,,,,,20,20,385
Vercingetorix,28,23,27,30,38,33,48,43,40,44,39,35,36,18,18,20,16,5,6,2,2,1,,1,,,50,20,44
